,Name,Address,Rating,latitude,longitude,genera_type,place_id,icon,business_status,type
0,Jeddah,Jeddah,N/A,21.485811,39.19250479999999,"['locality', 'political']",ChIJWX4TsR_QwxUR2xixN5dXWeA,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,N/A,locality
1,Coral Al Basma Resort,"Assalam Street, Jeddah",4,21.6686879,39.12422350000001,"['lodging', 'point_of_interest', 'establishment']",ChIJsfJJ6rHZwxURMpPs9urEP-k,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,OPERATIONAL,lodging
2,Laten Suites,"ابو النصر الفامي، المحمدية،, مكة",3.4,21.6613701,39.1229067,"['lodging', 'point_of_interest', 'establishment']",ChIJtdzdL6XZwxURCgQZ3SCjnek,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,OPERATIONAL,lodging
3,Alsanbouk,"Prince Sultan Road, Jeddah",4.1,21.663535,39.1224704,"['clothing_store', 'store', 'point_of_interest', 'establishment']",ChIJ2yniraTZwxURHsQo-xsbR1s,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,clothing_store
4,Dream Land 2,"عبد الله الفيصل الفرعي, Q44F+QWX، شارع الأمير, Jeddah",3.4,21.6674559,39.1214009,"['point_of_interest', 'establishment']",ChIJ4R8S5xxjwRURLmDiKacHagQ,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
5,LA padella south street,"طريق الامير سلطان، حي, Jeddah",4.1,21.6651086,39.1222782,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJvy35T6XZwxURIUF7tCpGD0M,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,OPERATIONAL,restaurant
6,Helen's Bakery,"23625, جدة",4.2,21.6638631,39.1224921,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",ChIJ8eZYOqXZwxURM4eZl1oaDqM,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,OPERATIONAL,bakery
7,Rocket Interactive Agency,"7296 محمد بن حاطب, Al Muhammadiyah District, 2151,, Jeddah",5,21.66360539999999,39.1228677,"['point_of_interest', 'establishment']",ChIJw0dGMKXZwxUR7TEQbO5Rktg,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
8,المائدة المثالية,"شارع الأمير سلطان, حي المحمدية 7242 محمد بن حاطب, Jeddah",4.2,21.6631335,39.1229668,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJI27nLKXZwxURVYT0L9qo3Rc,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,OPERATIONAL,restaurant
9,NBArchitects,"5526 Ismail Ibn Kathir, Al Basatin District, Jeddah 23717 7150 Ismail Ibn Kathir, Jeddah",5,21.6698502,39.1234632,"['point_of_interest', 'establishment']",ChIJjfHS_rHZwxURimqwqR0L8lo,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
10,مجموعة البركاتي العقارية,"M49F+WG7, شارع إسماعيل بن كثير، البساتين،, Jeddah",4.5,21.6697802,39.1237882,"['finance', 'point_of_interest', 'establishment']",ChIJsQlPw2LawxUREXv_kdTto40,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,finance
